event_token,event_span,doc_id,source_MATRES,source_TBD,source_OneIE,type,has_relations_TBD,events_AFTER_TBD,has_relations_MATRES,events_AFTER_MATRES
took,[113:117),20413485,1,0,0,--,0,[],1,"['[330:334)', '[462:466)', '[514:521)']"
carried,[222:229),20413485,1,1,0,--,1,"['[367:372)', '[462:466)', '[514:521)']",1,"['[330:334)', '[367:372)', '[462:466)', '[514:521)']"
drew,[330:334),20413485,1,1,0,--,1,"['[462:466)', '[514:521)']",1,['[514:521)']
began,[367:372),20413485,1,1,0,--,1,"['[462:466)', '[514:521)']",1,"['[462:466)', '[514:521)', '[545:553)']"
died,[462:466),20413485,1,1,1,Life:Die,0,[],1,['[330:334)']
wounded,[514:521),20413485,1,1,1,Life:Injure,0,[],0,[]
occurred,[545:553),20413485,1,0,0,--,0,[],1,"['[330:334)', '[462:466)', '[514:521)']"
secured,[985:992),20413485,1,1,0,--,1,"['[1090:1099)', '[1127:1132)', '[1165:1175)', '[1183:1188)', '[1242:1247)', '[1271:1280)']",1,"['[1090:1099)', '[1165:1175)', '[1242:1247)', '[1271:1280)', '[1336:1345)', '[1456:1460)', '[1555:1564)']"
conducted,[1090:1099),20413485,1,1,0,--,0,[],1,"['[1271:1280)', '[1336:1345)', '[1456:1460)', '[1555:1564)', '[1744:1755)']"
culminated,[1165:1175),20413485,1,1,0,--,1,"['[1271:1280)', '[1336:1345)', '[1456:1460)', '[1555:1564)']",1,"['[1271:1280)', '[1336:1345)', '[1456:1460)', '[1555:1564)', '[1744:1755)']"
ended,[1242:1247),20413485,1,1,0,--,1,"['[1271:1280)', '[1336:1345)']",1,"['[1456:1460)', '[1555:1564)']"
condemned,[1271:1280),20413485,1,1,0,--,0,[],1,"['[1242:1247)', '[1336:1345)', '[1456:1460)', '[1555:1564)', '[1744:1755)']"
disclosed,[1336:1345),20413485,1,1,0,--,0,[],1,"['[1242:1247)', '[1456:1460)', '[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)']"
said,[1456:1460),20413485,1,1,0,--,0,[],1,"['[1555:1564)', '[1744:1755)', '[1811:1820)']"
confirmed,[1555:1564),20413485,1,1,0,--,0,[],1,"['[1744:1755)', '[1811:1820)']"
released,[1723:1731),20413485,1,1,1,Justice:Release-Parole,0,[],1,"['[1456:1460)', '[1555:1564)', '[1811:1820)']"
disappeared,[1744:1755),20413485,1,1,0,--,1,['[1811:1820)'],1,['[1811:1820)']
suggested,[1811:1820),20413485,1,1,0,--,0,[],0,[]
